geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ppard	525.8474222	-0.616141647	0.150078441	-4.105464081	4.04e-05	0.001342602
Tead3	143.1873044	-1.451694834	0.298862503	-4.857400375	1.19e-06	8.12e-05
Stk38	576.0241089	-1.019902386	0.267908597	-3.806904285	0.000140717	0.003511621
Rrp1b	333.9884983	-0.674609906	0.18543083	-3.638067667	0.000274691	0.005863324
Notch3	508.7645232	-1.194573469	0.190182797	-6.281185736	3.36e-10	9.93e-08
Cyp4f13	453.986772	-0.460753024	0.130115122	-3.541118183	0.000398435	0.007782657
Adamts10	410.5428074	-1.19236862	0.262075802	-4.549708943	5.37e-06	0.000260049
Col11a2	130.3213662	-1.707902252	0.37136536	-4.598981053	4.25e-06	0.000223459
Tnxb	1078.233047	-0.695274044	0.182602809	-3.807575836	0.000140336	0.003511621
Hspa1b	573.8572497	1.356628782	0.268926802	5.044602373	4.54e-07	3.65e-05
Bag6	6030.924706	0.242913578	0.064738213	3.752244093	0.000175259	0.004144925
Tubb5	53508.32161	0.33988014	0.076257515	4.457005201	8.31e-06	0.000373594
Rn45s	3997028.297	-2.551430506	0.514825969	-4.955908712	7.2e-07	5.43e-05
Hsp90ab1	118542.691	0.388552367	0.083435326	4.65692873	3.21e-06	0.000178565
Gltscr1l	1417.307264	-0.632831481	0.107529789	-5.88517365	3.98e-09	7.53e-07
Daam2	2473.032841	-0.953427135	0.145790024	-6.539728203	6.16e-11	2.48e-08
Kat2b	1324.730775	-0.404694734	0.091748122	-4.410932057	1.03e-05	0.000448353
Fsd1	2519.38329	0.34353815	0.086495602	3.971741225	7.13e-05	0.002065417
Plin4	115.8095677	-1.595356757	0.449058457	-3.552670555	0.000381342	0.00755067
Prkd3	344.5068542	-0.79340687	0.207319403	-3.826978363	0.000129726	0.003311557
Zfp36l2	828.1414348	-0.852196658	0.172058815	-4.952938095	7.31e-07	5.48e-05
Epas1	6335.105192	-0.648123183	0.113087734	-5.731153699	9.97e-09	1.47e-06
Ston1	461.8836367	-1.092823538	0.229460032	-4.762587748	1.91e-06	0.000115747
Svil	624.2279549	-0.73264824	0.155361546	-4.715763077	2.41e-06	0.000141111
Npc1	1830.041795	-0.407036482	0.090784257	-4.483558012	7.34e-06	0.000337583
Apc	8653.768124	-0.353213827	0.085242648	-4.143628034	3.42e-05	0.001161501
Hars	5554.899738	0.364773066	0.089741353	4.064715482	4.81e-05	0.001522372
Pcdhb3	141.2244802	0.889745124	0.250776841	3.547955706	0.000388234	0.007655711
Pcdhb5	179.2388506	1.266872827	0.356059275	3.558039112	0.000373634	0.007449
Lox	815.0978074	-1.8444983	0.261572703	-7.051570271	1.77e-12	1.28e-09
Snx2	2775.316109	0.392282918	0.106420093	3.686173406	0.000227651	0.005100657
Slc12a2	7069.84327	-0.288954351	0.083151761	-3.475023842	0.000510808	0.009418388
Pdgfrb	1158.405535	-0.477842434	0.113670575	-4.203747823	2.63e-05	0.000952351
Sh3tc2	386.0192721	-1.133511916	0.279997016	-4.048299982	5.16e-05	0.001609328
Ccdc68	927.977637	0.645490338	0.158323512	4.077033976	4.56e-05	0.001457427
Atp5a1	30843.43422	0.306298336	0.066939589	4.575742709	4.75e-06	0.000237076
Pard6g	395.648611	-0.841115658	0.210834069	-3.989467459	6.62e-05	0.001948159
Mbp	50408.586	-1.0549341	0.253225262	-4.165990753	3.1e-05	0.001078603
Cndp2	3847.70396	0.318872417	0.069571663	4.583366305	4.58e-06	0.000234013
Lrp5	397.9427077	-0.727982525	0.175539894	-4.147105867	3.37e-05	0.001146696
Suv420h1	1307.439492	-0.548375029	0.112218808	-4.886658827	1.03e-06	7.28e-05
Ndufv1	7591.549021	0.405691217	0.077053345	5.265069506	1.4e-07	1.4e-05
Carns1	1067.54342	-1.10186956	0.200494103	-5.495770429	3.89e-08	4.77e-06
Ankrd13d	3441.598981	0.360974981	0.099089246	3.642927932	0.000269554	0.005809158
Sipa1	431.793912	-0.631715544	0.180888706	-3.492288488	0.000478901	0.008967153
Fam89b	6825.00329	0.330173608	0.087417371	3.776979398	0.000158742	0.003810331
Malat1	33270.19652	-2.014979923	0.46692404	-4.315434093	1.59e-05	0.000633254
Neat1	8875.772902	-1.295140726	0.3549777	-3.648512919	0.000263763	0.005722473
Capn1	9148.570809	0.277780768	0.079923436	3.475585898	0.000509739	0.009410661
Rasgrp2	332.5085059	-0.778077747	0.195459373	-3.98076457	6.87e-05	0.002001772
Stip1	10934.99001	0.465499045	0.085189754	5.464260968	4.65e-08	5.51e-06
Pla2g16	2469.586389	-0.776906288	0.158966842	-4.88722225	1.02e-06	7.28e-05
Eml3	799.7495374	-0.626982304	0.145164499	-4.319115962	1.57e-05	0.000624637
Ahnak	26437.84636	-0.508593786	0.099015245	-5.136519993	2.8e-07	2.45e-05
Fads1	6943.393177	-0.365289648	0.090262725	-4.046960105	5.19e-05	0.001615083
Pcsk5	321.7249306	-0.861642783	0.243206409	-3.542845706	0.000395834	0.007743414
Klf9	2436.99757	-0.472879442	0.132705435	-3.563376592	0.000366115	0.007359926
Ptar1	102.5568522	-1.28217203	0.355415214	-3.607532762	0.000309123	0.006465664
Vldlr	1363.330877	-0.818895187	0.126212713	-6.488214778	8.69e-11	3.22e-08
4931408D14Rik	28.39726622	2.81635205	0.728933074	3.863663416	0.000111699	0.002990907
Plce1	1495.896164	-0.45902495	0.13136047	-3.494391805	0.000475143	0.008931457
Arhgap19	1833.196813	-1.069591128	0.171687328	-6.229878134	4.67e-10	1.35e-07
Scd2	82635.37408	-0.184159508	0.050559954	-3.642398617	0.000270109	0.005809158
Sema4g	354.6039816	-0.89571733	0.251173096	-3.566135643	0.000362284	0.007313385
Lzts2	1222.353213	-0.590627025	0.135203135	-4.368441788	1.25e-05	0.000528053
Hps6	525.980683	0.641077282	0.153461583	4.177444728	2.95e-05	0.00104706
Sh3pxd2a	5363.909148	-0.548163154	0.098775211	-5.549602481	2.86e-08	3.67e-06
Sorcs1	1342.277871	-0.605784587	0.141672722	-4.275943718	1.9e-05	0.00072879
Add3	2400.071698	-0.487088817	0.11906549	-4.090931968	4.3e-05	0.001406441
Mxi1	1926.270908	-0.692125625	0.119358485	-5.79871322	6.68e-09	1.09e-06
Gpam	1305.594315	-0.757980896	0.176959104	-4.283367615	1.84e-05	0.000707261
Tcf7l2	285.1462574	-1.21237052	0.227836635	-5.321227295	1.03e-07	1.06e-05
Afap1l2	1216.97762	-0.55157496	0.136978416	-4.02672899	5.66e-05	0.001738053
Dhtkd1	54.68056499	-2.251539751	0.618941974	-3.637723478	0.000275059	0.005863324
Celf2	1809.775773	-0.564993	0.122482439	-4.61284902	3.97e-06	0.000211178
Itih5	2308.647288	-0.823991705	0.137035627	-6.012974305	1.82e-09	3.99e-07
Ankrd16	451.480078	-0.838490989	0.224476825	-3.735312052	0.000187483	0.004365487
Mllt10	636.404577	-0.604498791	0.172830619	-3.497637137	0.000469399	0.008881158
Tubb4b	26966.23662	0.51084365	0.112147981	4.555085586	5.24e-06	0.000254336
Dpp7	1208.2785	0.453820833	0.118141579	3.841330362	0.000122369	0.003200127
Notch1	1262.60315	-1.086485953	0.155414363	-6.990897974	2.73e-12	1.8e-09
Rxra	1237.573602	-0.456028044	0.113223856	-4.027667474	5.63e-05	0.001734815
Col5a1	753.1560364	-1.527850172	0.217886345	-7.012142816	2.35e-12	1.62e-09
Ralgps1	710.7535633	-0.595904406	0.149240596	-3.992910931	6.53e-05	0.001931852
Zbtb43	472.9242009	-0.733669885	0.166055423	-4.418222966	9.95e-06	0.000439144
Hspa5	10659.34213	0.470593396	0.101501474	4.636320796	3.55e-06	0.000192263
Zeb2	2462.167505	-0.46952123	0.102791339	-4.567711954	4.93e-06	0.000243577
Fmnl2	2600.857493	-0.496289372	0.092956409	-5.338947324	9.35e-08	9.88e-06
Nr4a2	387.0336285	-0.861928149	0.213991377	-4.027863928	5.63e-05	0.001734815
Psmd14	4398.521758	0.29482239	0.062303408	4.732042743	2.22e-06	0.000131313
Fign	442.4580835	-0.779159385	0.204173381	-3.816165356	0.000135542	0.003417823
Cobll1	422.79759	-0.856507194	0.225917341	-3.791241476	0.000149896	0.003646381
Scn2a1	368.4756127	-0.920801535	0.184401012	-4.993473323	5.93e-07	4.54e-05
Lrp2	44.42256216	-2.596108911	0.62563857	-4.149534627	3.33e-05	0.001137274
Cybrd1	233.0314654	-0.88773263	0.230205838	-3.856255937	0.000115137	0.003052183
Dync1i2	13940.48594	0.365854273	0.094850069	3.857185095	0.0001147	0.003046188
Itga6	2426.773152	-0.706000552	0.116967837	-6.035851982	1.58e-09	3.69e-07
Chn1	5397.112898	0.313044247	0.076621156	4.085611093	4.4e-05	0.001420015
Hoxd4	138.1564544	-1.143182795	0.289877127	-3.943680575	8.02e-05	0.002286223
Hoxd1	1428.349743	0.60274686	0.158894801	3.793370567	0.000148616	0.003645664
Zfp385b	1482.402715	0.441915949	0.101915773	4.336089876	1.45e-05	0.000594704
Ssfa2	2543.106225	-0.579826001	0.087772992	-6.605972843	3.95e-11	1.73e-08
Itgav	1667.80147	-0.597905565	0.114885642	-5.204354126	1.95e-07	1.82e-05
Slc43a3	1494.723476	-0.574118222	0.119645455	-4.798495859	1.6e-06	0.000101931
P2rx3	15590.12906	0.424429575	0.11647959	3.643810691	0.000268631	0.005803411
Creb3l1	789.2890089	0.737803081	0.161179723	4.577517979	4.71e-06	0.000237076
Tspan18	2000.779643	-0.372886104	0.098331989	-3.792113925	0.00014937	0.003645846
Cd82	4417.316889	0.3002227	0.083058995	3.614571777	0.000300844	0.006310758
Abtb2	3137.253205	0.437268179	0.122371737	3.573277539	0.000352541	0.007166678
D430041D05Rik	873.2215524	-0.748875156	0.163705378	-4.574529942	4.77e-06	0.000237076
Rcn1	1440.490747	-0.398334252	0.096955352	-4.108429739	3.98e-05	0.001328534
Lin7c	2172.971942	-0.385539632	0.094803805	-4.066710506	4.77e-05	0.001513467
Lgr4	2231.822339	-0.618338706	0.106352074	-5.81407285	6.1e-09	1.01e-06
Emc4	3346.889174	0.293650467	0.083572883	3.51370513	0.000441903	0.008494163
Fam98b	1178.962265	0.459432941	0.126829536	3.622444392	0.000291832	0.006157404
Ivd	927.8020855	-0.381624218	0.110310029	-3.459560476	0.000541058	0.009801339
Vps18	2819.855365	0.374574638	0.106888237	3.504357896	0.00045771	0.008728447
Pdia3	13014.23458	0.370326689	0.091656806	4.040362153	5.34e-05	0.001654088
Gatm	6789.567558	-0.604087209	0.111935451	-5.396746101	6.79e-08	7.52e-06
Shc4	1573.286329	-0.763080298	0.164341833	-4.643250486	3.43e-06	0.000187326
Secisbp2l	7396.622581	-0.905386243	0.10968902	-8.25411915	1.53e-16	5.54e-13
Galk2	842.1095408	0.440837398	0.111477878	3.954483221	7.67e-05	0.002189664
Mal	6225.040117	-0.845764239	0.146976317	-5.75442532	8.69e-09	1.32e-06
Bcl2l11	209.3456534	-1.040464423	0.260492213	-3.994224661	6.49e-05	0.00192511
Mertk	489.8234518	-1.314055569	0.193709353	-6.78364543	1.17e-11	6.52e-09
Idh3b	6482.638272	0.255089824	0.063254128	4.032777499	5.51e-05	0.001704761
4930402H24Rik	987.2591458	-0.653564641	0.156629613	-4.172676087	3.01e-05	0.001060169
Mavs	260.1025572	-1.006640645	0.237027929	-4.246928415	2.17e-05	0.000812563
Jag1	781.806672	-0.615841221	0.134490618	-4.579064538	4.67e-06	0.000236662
Dusp15	2579.558075	-0.610483275	0.151001709	-4.042889853	5.28e-05	0.001639862
Myl9	661.2638551	-0.70156733	0.199574131	-3.515321987	0.000439221	0.008453838
Soga1	1226.51292	-0.510704817	0.119572463	-4.271090557	1.95e-05	0.000740914
Tomm34	3921.148104	0.286434214	0.077311743	3.704925075	0.000211453	0.004827404
Pcif1	935.2052008	-0.416746277	0.109917682	-3.791439836	0.000149776	0.003646381
Atp9a	26049.91362	0.269570628	0.077437303	3.48114693	0.000499272	0.009264687
Bcas1	1448.147749	-0.727841242	0.209767742	-3.469748182	0.000520947	0.009554849
Gnas	93386.24989	0.284885254	0.071362276	3.992098762	6.55e-05	0.001934526
Lama5	476.9606106	-0.983699906	0.224524893	-4.381250973	1.18e-05	0.000503814
Slc2a4rg-ps	63.34905044	-2.147884579	0.541163254	-3.969014089	7.22e-05	0.002080871
Prpf6	2177.301264	0.406696607	0.112250445	3.623117985	0.000291073	0.006150351
Pmp2	661.2071345	-1.069950032	0.280075131	-3.820225054	0.00013333	0.003389781
Fabp4	117.1073428	-1.851139694	0.500948571	-3.695268942	0.000219654	0.004959866
Phc3	1412.462726	-0.417346863	0.111804902	-3.732813634	0.000189353	0.004399183
Sox2	765.188185	-0.4921744	0.140676986	-3.498613476	0.000467684	0.008877284
Anxa5	36114.62745	0.353162374	0.080817327	4.369884373	1.24e-05	0.00052611
Trpc3	4873.687421	0.525689467	0.151823183	3.462511177	0.00053516	0.009731032
Fat4	445.6985124	-0.878898563	0.184273977	-4.769520782	1.85e-06	0.000114224
Jade1	628.1925083	-0.512611493	0.125238372	-4.093086524	4.26e-05	0.001400257
Frem2	168.2678049	-1.310143409	0.242038181	-5.412961727	6.2e-08	7.01e-06
Wwtr1	733.0046845	-0.870410438	0.176758457	-4.924293022	8.47e-07	6.25e-05
Arhgef26	340.8619141	-0.741454782	0.193357914	-3.83462341	0.000125757	0.003250568
Mme	860.0376042	-0.7725871	0.161634341	-4.779845015	1.75e-06	0.000110138
Lxn	8905.170919	0.261140568	0.075507271	3.458482416	0.000543228	0.009828348
Rarres1	2477.933364	0.413758607	0.115806544	3.572843046	0.000353126	0.007168516
Fam198b	970.4391339	-0.854464488	0.160599639	-5.320463331	1.04e-07	1.06e-05
Gucy1b3	121.6002472	-1.272209592	0.348249172	-3.653158983	0.000259034	0.005646467
Kirrel	1097.625924	-0.704254862	0.140489552	-5.012862892	5.36e-07	4.17e-05
Bcan	3471.247146	-0.437673671	0.091835622	-4.765837725	1.88e-06	0.000114501
Tmem79	6425.867855	0.382758216	0.087655652	4.366611915	1.26e-05	0.000530946
Gon4l	764.7454276	-0.659500352	0.173594574	-3.79908391	0.000145232	0.003599464
Scamp3	3594.413027	0.267015112	0.074526265	3.582832319	0.000339889	0.006958346
Fam189b	26145.85586	0.300166678	0.073167831	4.102440579	4.09e-05	0.001350956
Shc1	6339.072358	0.494482817	0.102720357	4.813873639	1.48e-06	9.6e-05
Il6ra	109.8467397	-1.394118301	0.359799884	-3.874704696	0.000106754	0.002904433
Sema6c	1874.015652	-0.799929024	0.188262574	-4.249007155	2.15e-05	0.000808751
Otud7b	2754.080547	-0.448720665	0.10745435	-4.175919037	2.97e-05	0.001050286
Hist2h2be	214.1804758	-0.915259931	0.253697189	-3.60768653	0.000308939	0.006465664
Txnip	2283.950224	-0.727699554	0.154600576	-4.706965354	2.51e-06	0.000144989
Bcl9	805.0644696	-0.535055207	0.145879856	-3.667779921	0.000244666	0.0053819
Notch2	951.195994	-0.973447977	0.204196079	-4.767221683	1.87e-06	0.000114501
Syt6	3609.672556	0.489072087	0.130924775	3.735519781	0.000187328	0.004365487
Cttnbp2nl	1510.258958	-0.57794092	0.097406762	-5.933273074	2.97e-09	6.23e-07
Sort1	2436.91925	-0.430819683	0.113356007	-3.800589783	0.000144352	0.003583795
Col11a1	627.1377445	-1.609829009	0.273372534	-5.888773765	3.89e-09	7.51e-07
S1pr1	755.3582039	-0.488298643	0.125263035	-3.89818628	9.69e-05	0.002666844
Cdc14a	247.9064492	-1.164929656	0.228722764	-5.093195078	3.52e-07	3e-05
Rtca	3704.735593	0.424755332	0.087604824	4.848538144	1.24e-06	8.41e-05
Palmd	2302.392225	0.385012227	0.094370285	4.079803594	4.51e-05	0.001443358
Snx7	7801.525243	0.410289586	0.097843539	4.193323233	2.75e-05	0.000984867
Arhgap29	550.6211165	-0.728485741	0.201193909	-3.620814087	0.000293677	0.006181767
Ugt8a	1780.36535	-1.169080705	0.194274588	-6.017671784	1.77e-09	3.94e-07
Tet2	462.6112662	-1.115982632	0.188282881	-5.927159304	3.08e-09	6.37e-07
Col24a1	453.7468048	-1.710828349	0.470357416	-3.637294304	0.000275517	0.005863956
Pnisr	1450.569488	-0.572844371	0.146855741	-3.900728483	9.59e-05	0.002644018
Rars2	577.5237705	0.527483553	0.145294502	3.630443997	0.000282934	0.005987117
Stoml2	1746.932361	0.35300354	0.09339642	3.77962603	0.000157064	0.003782605
Rmrp	285.6331408	-4.114816715	0.646271991	-6.36700456	1.93e-10	6.64e-08
Nans	1772.430565	0.425230029	0.105992429	4.011890579	6.02e-05	0.001808934
Ctnnal1	1847.646394	-0.821588407	0.185418923	-4.430984677	9.38e-06	0.000419048
Epb4.1l4b	798.7301698	-0.849193302	0.13362324	-6.355131781	2.08e-10	7.01e-08
Ugcg	6609.338081	0.356837349	0.091775463	3.88815636	0.000101009	0.002758486
Col27a1	641.6369414	-1.149986585	0.266152054	-4.320787942	1.55e-05	0.000621634
Nfib	1713.078695	-0.615771346	0.115691472	-5.32253015	1.02e-07	1.06e-05
Rraga	5324.722633	0.400135663	0.106254523	3.7658224	0.000166002	0.003961253
Dennd4c	376.9990264	-0.83417377	0.160974845	-5.182013175	2.2e-07	2e-05
Ppap2b	2536.751486	-0.519948698	0.119744258	-4.342159758	1.41e-05	0.000580148
Usp24	1297.038413	-0.514094725	0.136782965	-3.7584704	0.000170955	0.004063065
Tesk2	366.1113928	-0.919218811	0.216276342	-4.250205091	2.14e-05	0.000807123
Lepre1	345.979586	-0.899077811	0.206660669	-4.350502768	1.36e-05	0.000561698
Cldn19	2237.101894	-1.21474808	0.257706171	-4.713694179	2.43e-06	0.000141977
Rlf	835.6609679	-0.434613757	0.121363187	-3.581100391	0.00034215	0.006994747
Mfsd2a	967.2106953	-0.883985146	0.158240292	-5.586346797	2.32e-08	3.11e-06
D830031N03Rik	198.1705988	-1.42911475	0.313083045	-4.564650728	5e-06	0.000245315
Grik3	966.53929	-0.635070059	0.13668949	-4.64607821	3.38e-06	0.000185478
Csf3r	48.48232786	-2.446930207	0.672385652	-3.639176715	0.000273511	0.005847562
Ago1	993.0438857	-0.550892493	0.15604038	-3.530448302	0.000414856	0.008038323
Ncdn	29039.16735	0.276100594	0.070562335	3.912860805	9.12e-05	0.002538771
Adc	5923.873121	0.3639157	0.077598484	4.689726898	2.74e-06	0.000156508
Nkain1	752.328301	0.718465881	0.193235997	3.71807474	0.000200747	0.004616913
Sdc3	9078.438018	-0.297221645	0.084140939	-3.532426071	0.000411765	0.007999605
Epb4.1	1249.708412	-0.69221308	0.189239875	-3.657860587	0.000254329	0.005560668
Trnp1	28021.79798	0.237275035	0.051486021	4.608533148	4.06e-06	0.000214215
Arid1a	3504.062526	-0.330804713	0.087407924	-3.7846078	0.000153951	0.00373874
Clic4	3738.568524	-0.604752588	0.141797	-4.264918088	2e-05	0.000757708
Ncmap	2220.765944	-1.017628267	0.17216329	-5.910831893	3.4e-09	6.68e-07
Myom3	29.87411049	2.061449651	0.589610978	3.496287771	0.00047178	0.008902918
Hspg2	3909.029472	-0.977344215	0.144510266	-6.763147311	1.35e-11	7.24e-09
Atp13a2	11741.34723	0.342544982	0.098492895	3.477864911	0.000505425	0.009342931
Spen	1236.400997	-0.706725778	0.120508123	-5.864548889	4.5e-09	7.95e-07
Efhd2	2792.333375	0.333549969	0.088497786	3.769020483	0.000163889	0.003920886
Mthfr	1521.991755	-0.467856261	0.107978009	-4.332884667	1.47e-05	0.000598982
Rere	3969.929525	-0.452589001	0.086948156	-5.205274277	1.94e-07	1.82e-05
Per3	587.7851462	-1.315125557	0.183584917	-7.163581724	7.86e-13	6.32e-10
Vamp3	882.3352274	-0.655813697	0.154853491	-4.235059185	2.28e-05	0.000845828
Acot7	21654.11533	0.325851872	0.086928602	3.748500104	0.000177895	0.004186758
5930403L14Rik	1684.962866	-0.682388853	0.11633679	-5.865632459	4.47e-09	7.95e-07
Ccnl2	971.6852686	-0.870240254	0.205361634	-4.237599	2.26e-05	0.000838463
Mxra8	1046.491382	-0.479266459	0.136591269	-3.508763492	0.000450195	0.00861921
Agrn	2520.027549	-1.208652756	0.298116734	-4.054293571	5.03e-05	0.001575411
Gsap	221.0846148	-0.989116744	0.264636881	-3.737637545	0.000185757	0.004350572
Psmc2	5857.375745	0.271325052	0.070322668	3.858287238	0.000114184	0.003041379
Reln	1774.396712	-0.66677935	0.151076235	-4.413529046	1.02e-05	0.000446058
Kmt2e	1520.406004	-0.785764923	0.106140429	-7.403069018	1.33e-13	1.28e-10
Fam126a	679.8818152	-0.646852353	0.171095131	-3.780659047	0.000156414	0.003777195
Kmt2c	1962.597235	-0.736860523	0.127093777	-5.797770266	6.72e-09	1.09e-06
Rbm33	950.2220381	-0.631898319	0.099768679	-6.333634192	2.39e-10	7.53e-08
Maea	5163.302991	0.256034964	0.066734629	3.836613259	0.000124743	0.003241518
Tnip2	164.3110589	-1.099773117	0.264574337	-4.156764145	3.23e-05	0.001111797
Evc2	386.8422909	-0.761688071	0.201331642	-3.783250676	0.000154793	0.003752897
Prom1	471.472507	-0.943193514	0.218106101	-4.32447103	1.53e-05	0.000613033
Limch1	3801.157129	-1.259851603	0.208932597	-6.029942769	1.64e-09	3.74e-07
Kctd8	2462.520298	0.483111374	0.1234093	3.91470801	9.05e-05	0.002524268
Atp10d	149.9156562	-1.148035684	0.322169129	-3.563456524	0.000366003	0.007359926
Kdr	358.8621825	-0.961578161	0.247088339	-3.891637149	9.96e-05	0.002729503
Slc4a4	3115.776497	-0.54089303	0.093530288	-5.783078858	7.33e-09	1.17e-06
Art3	2684.299229	-0.458531887	0.125106827	-3.665122827	0.00024722	0.005429834
Aff1	1397.278614	-0.393191356	0.107471688	-3.658557549	0.000253639	0.00555396
Pkd2	978.8451194	-0.509226292	0.129715094	-3.925728893	8.65e-05	0.002430157
Tgfbr3	1718.633525	-0.692031164	0.136010337	-5.088077717	3.62e-07	3.04e-05
Ep400	1787.916578	-0.474214861	0.117921226	-4.021454637	5.78e-05	0.001773674
Pxn	1559.938352	-0.89617732	0.159960199	-5.602501895	2.11e-08	2.86e-06
Med13l	1615.851378	-0.52560203	0.137574357	-3.820494176	0.000133185	0.003389781
Anapc7	1430.789277	0.424259283	0.119752269	3.542807883	0.000395891	0.007743414
P2rx7	592.9766107	-1.049486663	0.18551923	-5.657023601	1.54e-08	2.21e-06
Setd1b	1308.692711	-0.539588682	0.122149002	-4.417462881	9.99e-06	0.000439351
Zcchc8	574.3185839	-0.544384802	0.155607353	-3.498451646	0.000467968	0.008877284
Mphosph9	391.9562712	-0.597174428	0.166398385	-3.588823464	0.000332174	0.00681969
Scarb1	600.8607067	-0.67096178	0.175314892	-3.827180755	0.000129619	0.003311557
Cct6a	7555.162821	0.35016933	0.083166667	4.210452873	2.55e-05	0.000926843
Hip1	2677.247203	-0.324873662	0.082125358	-3.955826415	7.63e-05	0.002181699
Mdh2	13535.34828	0.292280252	0.073790394	3.960952567	7.47e-05	0.002143857
Trip6	301.1473405	-1.028111036	0.282382624	-3.640843838	0.000271746	0.005827873
Ephb4	430.428469	-0.792772467	0.204841531	-3.870174495	0.000108757	0.002942347
Gigyf1	1329.594039	-0.561529552	0.153920355	-3.648182548	0.000264102	0.005722473
Gjc3	1531.971383	-0.966146383	0.173779412	-5.559613591	2.7e-08	3.53e-06
Sun1	2184.442343	-0.361409362	0.100415648	-3.599133884	0.000319279	0.006620689
Fscn1	1481.197879	-0.637226846	0.172047669	-3.70378076	0.00021241	0.004840136
Nptx2	5846.519007	0.498688805	0.110645852	4.507071862	6.57e-06	0.000308983
Flt1	672.5939864	-0.770911395	0.209436303	-3.680887146	0.000232424	0.005199532
Hsph1	8902.468597	0.496511427	0.102186698	4.858865544	1.18e-06	8.12e-05
Col1a2	5855.314102	-0.888768365	0.159261677	-5.58055384	2.4e-08	3.18e-06
Ppp1r9a	1883.159106	-0.886343663	0.139630658	-6.347772583	2.18e-10	7.19e-08
Pdk4	344.5676666	-0.989387975	0.266096199	-3.71815899	0.00020068	0.004616913
Dync1i1	7755.178774	0.340125923	0.096296222	3.532079629	0.000412305	0.007999605
Asns	5499.08113	0.403322812	0.086785856	4.647333442	3.36e-06	0.000185054
Col28a1	2396.042085	-0.825948006	0.102131431	-8.087108883	6.11e-16	1.72e-12
Cav1	2649.621703	-0.456369979	0.120670303	-3.781957689	0.0001556	0.00376614
Cttnbp2	463.7455906	-0.662386195	0.159043604	-4.164808764	3.12e-05	0.001081606
Tmem229a	3100.424372	-0.460647057	0.093621667	-4.920303922	8.64e-07	6.35e-05
Smo	625.2210157	-0.838070028	0.166512551	-5.033074235	4.83e-07	3.86e-05
Cald1	1178.166297	-0.70910684	0.146613143	-4.836584398	1.32e-06	8.77e-05
Hipk2	205.9798252	-1.17120659	0.277988335	-4.213150134	2.52e-05	0.000920464
Parp12	544.9397075	-0.681395295	0.196402591	-3.469380372	0.00052166	0.009554849
Osbpl3	13437.81955	0.353862517	0.095069436	3.722148066	0.000197535	0.004563997
Gars	10417.62001	0.336691635	0.095292734	3.533235113	0.000410507	0.007986131
Fkbp9	2077.986938	-0.603279885	0.120213668	-5.018396772	5.21e-07	4.08e-05
Nap1l5	11433.73555	0.228940623	0.056037699	4.085475061	4.4e-05	0.001420015
Gng12	1154.787558	-0.684937065	0.117466865	-5.83089595	5.51e-09	9.28e-07
Lrrtm1	735.2791594	-0.455117413	0.119834949	-3.797868781	0.000145946	0.00360804
Dctn1	23820.10436	0.327201058	0.092813954	3.525343368	0.000422934	0.00818389
Tet3	1192.131282	-0.690064765	0.141568261	-4.874431321	1.09e-06	7.67e-05
Cct7	10431.04661	0.541451829	0.093830819	5.770511583	7.9e-09	1.23e-06
Dusp11	1438.955356	-0.542005277	0.133518872	-4.059390772	4.92e-05	0.001548118
Tgfa	670.3225986	-0.557613402	0.137010034	-4.069872723	4.7e-05	0.001496352
Fbln2	3545.840194	-0.574935982	0.086739464	-6.628309117	3.4e-11	1.54e-08
Slc6a6	1195.554587	-0.674303241	0.171889227	-3.922894131	8.75e-05	0.002449426
Fgd5	234.1689122	-1.262900907	0.278566449	-4.533571475	5.8e-06	0.000278875
Fam19a1	1102.25911	0.541895551	0.12247302	4.424611662	9.66e-06	0.000428963
Itpr1	552.5893508	-0.561938689	0.154631175	-3.634058195	0.000278998	0.005921137
Grm7	2558.697524	0.53715216	0.112714103	4.765616239	1.88e-06	0.000114501
Creld1	7722.992486	0.383384905	0.073708511	5.201365499	1.98e-07	1.84e-05
Hrh1	165.3390966	1.294965346	0.261583947	4.950477133	7.4e-07	5.52e-05
Mical3	2323.740067	-0.632632318	0.138085595	-4.581450514	4.62e-06	0.000235336
Rimklb	339.922208	-1.198384263	0.214994641	-5.574019217	2.49e-08	3.28e-06
Clstn3	3092.056462	0.364318559	0.104539164	3.484995914	0.000492145	0.009179511
Gapdh	23732.41504	0.395556782	0.110812575	3.569601933	0.000357524	0.007247624
Ccnd2	309.6642588	-1.005996518	0.229585188	-4.381800606	1.18e-05	0.000503814
Fkbp4	14526.58056	0.32505395	0.067756318	4.79739688	1.61e-06	0.000102042
Lrp6	1836.145467	-0.654349996	0.110618842	-5.915357514	3.31e-09	6.68e-07
Slco1a4	677.4094789	-0.755843205	0.168940534	-4.474019279	7.68e-06	0.000349392
Sspn	888.5991384	-0.523508201	0.135502428	-3.863459944	0.000111792	0.002990907
Tm7sf3	2200.092573	-0.463272531	0.078736169	-5.88385919	4.01e-09	7.53e-07
Tsen34	3399.410732	0.322585123	0.079589292	4.053122149	5.05e-05	0.001579904
Ttyh1	4204.128626	-0.379370279	0.10964589	-3.459958965	0.000540258	0.00979911
Leng8	2380.843077	-1.300587454	0.311799521	-4.171229796	3.03e-05	0.001061754
